Loan_ID,Industry_Type,Revenue (in $M),Debt-to-Equity Ratio,Credit_Score,Green_Energy_Investment (in $M),Energy_Efficiency_Score,Environmental_Certification,Loan_Amount (in $M),ROI (%),Project_Completion_Time (in months),Operational_Costs (in $M),Risk_Level,Energy_Capacity (MW),Approval_Status,Project_Impact,Risk_Assessment,Governance_Structure
LOAN-0001,Agriculture,254.72,2.59,342,179.35,96,Yes,63.62,21.0,12,27.11,High,207.67,Rejected,High,Severe,Community-driven
LOAN-0002,Agriculture,220.47,2.81,761,168.86,14,Yes,6.01,16.86,16,23.05,Low,212.71,Rejected,Low,Severe,Decentralized
LOAN-0003,Agriculture,36.34,2.51,701,59.15,59,Yes,81.27,23.16,9,17.65,High,44.43,Rejected,Medium,Severe,Centralized
LOAN-0004,Technology,70.76,2.88,720,134.09,33,Yes,33.62,-1.34,12,30.75,Low,113.56,Rejected,Low,Severe,Centralized
LOAN-0005,Agriculture,482.37,1.92,718,85.67,3,No,14.37,18.39,10,48.87,Medium,444.5,Rejected,Low,Moderate,Centralized
LOAN-0006,Technology,124.4,0.17,548,169.0,83,Yes,6.6,-1.31,20,22.57,High,353.87,Rejected,Low,Severe,Community-driven
LOAN-0007,Renewable Energy,70.54,1.69,704,20.45,32,No,70.66,20.18,28,30.22,High,494.07,Rejected,Low,Severe,Community-driven
LOAN-0008,Healthcare,47.22,1.73,394,181.7,37,No,74.78,-2.95,7,14.9,Low,38.95,Rejected,Low,Severe,Community-driven
LOAN-0009,Renewable Energy,296.17,1.41,767,74.65,73,No,65.29,14.75,24,45.56,Medium,360.02,Rejected,High,Moderate,Decentralized
LOAN-0010,Healthcare,216.52,0.91,658,150.58,1,No,59.88,5.29,27,8.04,Low,268.07,Rejected,Low,Minimal,Decentralized
LOAN-0011,Renewable Energy,218.32,1.44,336,56.86,28,No,46.36,22.34,28,33.76,Medium,291.73,Rejected,Low,Moderate,Decentralized
LOAN-0012,Healthcare,72.27,0.71,579,110.87,100,Yes,53.45,-4.38,8,12.91,Low,254.38,Rejected,Low,Minimal,Community-driven
LOAN-0013,Healthcare,439.41,2.19,588,192.28,53,Yes,19.08,6.72,15,1.75,Medium,428.74,Rejected,Medium,Moderate,Community-driven
LOAN-0014,Agriculture,372.11,0.36,628,120.16,71,No,55.07,3.87,34,22.5,High,135.5,Approved,Low,Severe,Community-driven
LOAN-0015,Healthcare,482.58,0.34,364,15.69,75,No,76.34,2.41,29,16.99,High,13.08,Rejected,Low,Severe,Decentralized
LOAN-0016,Agriculture,74.19,1.38,711,38.87,75,No,24.47,12.41,31,5.8,High,6.7,Rejected,High,Severe,Decentralized
LOAN-0017,Agriculture,324.79,0.44,538,145.18,43,No,54.36,7.23,12,40.01,High,316.51,Rejected,Low,Severe,Centralized
LOAN-0018,Technology,368.95,2.57,570,30.71,44,Yes,56.45,21.41,6,32.54,Low,374.42,Rejected,Low,Severe,Decentralized
LOAN-0019,Construction,444.54,1.18,605,65.13,85,No,20.32,12.0,21,31.2,Medium,270.66,Rejected,High,Moderate,Centralized
LOAN-0020,Renewable Energy,282.95,2.15,639,109.38,93,Yes,80.76,-2.53,18,12.27,Low,275.04,Rejected,Low,Severe,Decentralized
LOAN-0021,Healthcare,283.98,1.63,481,73.41,100,Yes,83.94,10.99,8,38.0,Low,298.64,Rejected,High,Severe,Community-driven
LOAN-0022,Renewable Energy,484.76,2.48,433,51.83,73,Yes,10.09,10.04,15,4.85,Medium,305.26,Rejected,High,Moderate,Centralized
